sales_person,country,product,sale_date,amount,boxes_shipped
Wilone O'Kielt,USA,Smooth Sliky Salty,18/01/2022,504.00,87
Curtice Advani,India,White Choc,04/07/2022,7154.00,342
Oby Sorrel,New Zealand,Spicy Special Slims,03/06/2022,1617.00,13
Beverie Moffet,New Zealand,Peanut Butter Cubes,23/02/2022,10822.00,30
Dotty Strutley,New Zealand,99% Dark & Pure,09/05/2022,10724.00,203
Kelci Walkden,India,70% Dark Bites,06/06/2022,3640.00,106
Kelci Walkden,India,Drinking Coco,04/07/2022,7532.00,234
Brien Boise,New Zealand,Drinking Coco,06/06/2022,1582.00,100
Dotty Strutley,Australia,Almond Choco,13/05/2022,1456.00,91
Wilone O'Kielt,New Zealand,Organic Choco Syrup,31/01/2022,2016.00,277
Ches Bonnell,New Zealand,Caramel Stuffed Bars,30/06/2022,7588.00,42
Barr Faughny,Canada,Manuka Honey Choco,25/08/2022,3402.00,249
Gigi Bohling,New Zealand,Smooth Sliky Salty,10/01/2022,700.00,97
Brien Boise,USA,Manuka Honey Choco,22/08/2022,1904.00,8
Roddy Speechley,New Zealand,85% Dark Bars,14/04/2022,4844.00,275
Oby Sorrel,UK,Smooth Sliky Salty,31/05/2022,9625.00,313
Oby Sorrel,UK,Raspberry Choco,08/04/2022,4599.00,323
Roddy Speechley,USA,Drinking Coco,21/02/2022,3003.00,155
Andria Kimpton,Australia,Manuka Honey Choco,30/03/2022,9744.00,377
Mallorie Waber,India,Raspberry Choco,02/03/2022,1400.00,2
Jehu Rudeforth,USA,Orange Choco,28/07/2022,364.00,170
Kaine Padly,New Zealand,70% Dark Bites,24/03/2022,7231.00,38
Curtice Advani,Australia,After Nines,11/08/2022,63.00,105
Husein Augar,UK,Almond Choco,17/05/2022,8309.00,166
Kaine Padly,Canada,Choco Coated Almonds,18/05/2022,3164.00,164
Roddy Speechley,UK,Peanut Butter Cubes,17/08/2022,5691.00,171
Ches Bonnell,New Zealand,Eclairs,04/04/2022,490.00,49
Brien Boise,India,85% Dark Bars,09/08/2022,18032.00,205
Brien Boise,New Zealand,Organic Choco Syrup,17/01/2022,637.00,313
Andria Kimpton,Canada,White Choc,14/02/2022,4067.00,29
Gigi Bohling,New Zealand,Orange Choco,16/05/2022,8204.00,307
Ches Bonnell,Canada,Smooth Sliky Salty,16/03/2022,9870.00,121
Husein Augar,Canada,70% Dark Bites,31/01/2022,5131.00,285
Barr Faughny,Canada,Organic Choco Syrup,10/03/2022,1141.00,205
Oby Sorrel,UK,Organic Choco Syrup,30/06/2022,7980.00,157
Van Tuxwell,New Zealand,Eclairs,01/03/2022,5229.00,182
Mallorie Waber,UK,Drinking Coco,27/05/2022,3423.00,100
Oby Sorrel,UK,Milk Bars,11/07/2022,6468.00,223
Karlen McCaffrey,New Zealand,Mint Chip Choco,02/03/2022,4326.00,61
Jehu Rudeforth,USA,Raspberry Choco,04/03/2022,7154.00,133
Kelci Walkden,UK,85% Dark Bars,23/06/2022,3997.00,228
Kelci Walkden,USA,Almond Choco,27/01/2022,5180.00,233
Marney O'Breen,Canada,Orange Choco,14/01/2022,2723.00,425
Dennison Crosswaite,India,Fruit & Nut Bars,29/07/2022,952.00,24
Brien Boise,Canada,Smooth Sliky Salty,13/05/2022,5691.00,495
Barr Faughny,Canada,Baker's Choco Chips,03/02/2022,10969.00,170
Brien Boise,India,Smooth Sliky Salty,27/05/2022,5964.00,26
Jan Morforth,Australia,Drinking Coco,18/02/2022,2821.00,24
Brien Boise,India,Spicy Special Slims,28/01/2022,1302.00,33
Van Tuxwell,UK,Eclairs,29/06/2022,5474.00,109
Wilone O'Kielt,India,Caramel Stuffed Bars,13/01/2022,4179.00,276
Jehu Rudeforth,UK,After Nines,27/06/2022,1946.00,164
Barr Faughny,Canada,White Choc,29/03/2022,4291.00,1
Gunar Cockshoot,India,Organic Choco Syrup,03/06/2022,7196.00,160
Mallorie Waber,Canada,Smooth Sliky Salty,21/03/2022,1939.00,98
Mallorie Waber,India,Eclairs,12/04/2022,10437.00,46
Rafaelita Blaksland,Australia,Raspberry Choco,19/01/2022,6916.00,259
Karlen McCaffrey,UK,50% Dark Bites,06/04/2022,3647.00,310
Kaine Padly,Australia,50% Dark Bites,02/08/2022,8995.00,78
Gigi Bohling,Australia,Eclairs,12/04/2022,7252.00,136
Oby Sorrel,India,Drinking Coco,21/07/2022,16380.00,130
Van Tuxwell,New Zealand,Baker's Choco Chips,22/03/2022,9660.00,24
Husein Augar,India,Peanut Butter Cubes,09/05/2022,4522.00,5
Andria Kimpton,Australia,Baker's Choco Chips,09/08/2022,329.00,109
Madelene Upcott,Canada,Choco Coated Almonds,20/07/2022,3458.00,294
Brien Boise,India,70% Dark Bites,14/04/2022,4641.00,413
Jehu Rudeforth,Canada,White Choc,25/01/2022,4627.00,136
Andria Kimpton,Australia,Almond Choco,25/04/2022,3192.00,175
Dotty Strutley,Canada,After Nines,17/01/2022,252.00,237
Karlen McCaffrey,USA,Eclairs,15/08/2022,868.00,125
Karlen McCaffrey,Canada,Fruit & Nut Bars,02/06/2022,210.00,16
Gunar Cockshoot,USA,85% Dark Bars,30/06/2022,7007.00,135
Dotty Strutley,New Zealand,Raspberry Choco,10/02/2022,5845.00,91
Marney O'Breen,Canada,Caramel Stuffed Bars,23/02/2022,1372.00,614
Dennison Crosswaite,India,Organic Choco Syrup,27/01/2022,8428.00,216
Camilla Castle,UK,Mint Chip Choco,26/05/2022,4977.00,317
Brien Boise,USA,70% Dark Bites,14/04/2022,1694.00,21
Madelene Upcott,Australia,99% Dark & Pure,01/08/2022,4326.00,154
Mallorie Waber,Australia,Eclairs,22/08/2022,9527.00,222
Marney O'Breen,India,99% Dark & Pure,22/07/2022,10766.00,157
Husein Augar,USA,Fruit & Nut Bars,28/04/2022,1288.00,27
Kelci Walkden,Australia,Almond Choco,30/05/2022,4879.00,350
Ches Bonnell,USA,Milk Bars,21/07/2022,2408.00,157
Jan Morforth,UK,Caramel Stuffed Bars,02/08/2022,3094.00,468
Brien Boise,New Zealand,70% Dark Bites,15/06/2022,7231.00,130
Oby Sorrel,India,85% Dark Bars,05/07/2022,8981.00,130
Kaine Padly,New Zealand,Smooth Sliky Salty,12/04/2022,7.00,518
Gigi Bohling,Australia,70% Dark Bites,18/08/2022,1372.00,105
Jan Morforth,UK,50% Dark Bites,12/01/2022,5250.00,293
Gunar Cockshoot,Canada,White Choc,11/08/2022,7560.00,15
Jehu Rudeforth,Australia,Spicy Special Slims,13/01/2022,5012.00,384
Husein Augar,UK,Baker's Choco Chips,29/04/2022,3038.00,135
Rafaelita Blaksland,New Zealand,After Nines,07/07/2022,1099.00,92
Madelene Upcott,New Zealand,Mint Chip Choco,11/03/2022,7413.00,4
Madelene Upcott,UK,70% Dark Bites,16/02/2022,5397.00,239
Barr Faughny,Australia,Organic Choco Syrup,07/01/2022,2303.00,33
Beverie Moffet,New Zealand,Drinking Coco,12/01/2022,1141.00,518
Beverie Moffet,India,Eclairs,09/06/2022,10325.00,147
Andria Kimpton,India,Eclairs,16/05/2022,2149.00,84
Gigi Bohling,UK,85% Dark Bars,23/06/2022,12362.00,94
Roddy Speechley,UK,Raspberry Choco,28/01/2022,12635.00,194
Dotty Strutley,UK,Mint Chip Choco,14/07/2022,2443.00,216
Barr Faughny,Canada,Drinking Coco,18/04/2022,6237.00,247
Oby Sorrel,USA,Milk Bars,14/06/2022,1736.00,79
Oby Sorrel,UK,Orange Choco,15/04/2022,7315.00,237
Curtice Advani,Canada,Peanut Butter Cubes,19/05/2022,4935.00,63
Gigi Bohling,India,White Choc,13/04/2022,1393.00,172
Husein Augar,Canada,Choco Coated Almonds,15/08/2022,3381.00,408
Wilone O'Kielt,India,Choco Coated Almonds,22/08/2022,2933.00,233
Wilone O'Kielt,New Zealand,Baker's Choco Chips,22/04/2022,3836.00,59
Kaine Padly,UK,Choco Coated Almonds,03/08/2022,8022.00,123
Dennison Crosswaite,New Zealand,Organic Choco Syrup,04/01/2022,371.00,229
Kelci Walkden,Canada,After Nines,13/01/2022,16702.00,198
Van Tuxwell,Australia,Baker's Choco Chips,11/05/2022,13258.00,32
Husein Augar,New Zealand,Peanut Butter Cubes,16/02/2022,2058.00,236
Kaine Padly,UK,Caramel Stuffed Bars,20/05/2022,10192.00,67
Jehu Rudeforth,UK,Drinking Coco,03/02/2022,7140.00,438
Beverie Moffet,India,Manuka Honey Choco,06/05/2022,9835.00,167
Gunar Cockshoot,UK,Choco Coated Almonds,30/06/2022,5775.00,135
Gunar Cockshoot,UK,Smooth Sliky Salty,22/03/2022,749.00,148
Camilla Castle,Canada,Orange Choco,17/02/2022,7770.00,54
Jehu Rudeforth,UK,85% Dark Bars,07/07/2022,5502.00,64
Oby Sorrel,UK,70% Dark Bites,16/03/2022,6223.00,181
Kelci Walkden,UK,99% Dark & Pure,12/08/2022,3507.00,114
Gigi Bohling,New Zealand,After Nines,21/01/2022,5600.00,181
Oby Sorrel,Australia,50% Dark Bites,06/05/2022,721.00,151
Oby Sorrel,Canada,50% Dark Bites,24/06/2022,6615.00,137
Barr Faughny,USA,White Choc,05/05/2022,7420.00,163
Rafaelita Blaksland,New Zealand,99% Dark & Pure,25/03/2022,3164.00,84
Curtice Advani,Australia,Caramel Stuffed Bars,14/02/2022,9114.00,140
Curtice Advani,New Zealand,85% Dark Bars,12/05/2022,5404.00,187
Barr Faughny,New Zealand,Smooth Sliky Salty,25/01/2022,3990.00,169
Ches Bonnell,UK,85% Dark Bars,28/06/2022,14924.00,12
Dennison Crosswaite,Australia,Drinking Coco,13/07/2022,7091.00,194
Roddy Speechley,USA,Milk Bars,16/05/2022,2807.00,252
Jan Morforth,India,After Nines,14/03/2022,6496.00,168
Gunar Cockshoot,USA,After Nines,15/08/2022,3738.00,261
Ches Bonnell,India,Orange Choco,16/02/2022,1190.00,256
Mallorie Waber,UK,Manuka Honey Choco,15/06/2022,8379.00,43
Barr Faughny,Australia,Raspberry Choco,27/05/2022,9268.00,100
Wilone O'Kielt,USA,Drinking Coco,14/06/2022,1029.00,98
Wilone O'Kielt,India,Eclairs,25/02/2022,3549.00,76
Wilone O'Kielt,India,After Nines,04/08/2022,12026.00,262
Kelci Walkden,India,99% Dark & Pure,28/06/2022,2303.00,244
Gunar Cockshoot,Canada,Spicy Special Slims,05/04/2022,13405.00,12
Madelene Upcott,Canada,Peanut Butter Cubes,05/07/2022,14763.00,113
Kaine Padly,New Zealand,Eclairs,20/01/2022,12894.00,48
Ches Bonnell,New Zealand,Drinking Coco,16/02/2022,8302.00,131
Curtice Advani,UK,Drinking Coco,12/07/2022,455.00,174
Kelci Walkden,India,Raspberry Choco,16/06/2022,8183.00,254
Dotty Strutley,Australia,Choco Coated Almonds,13/04/2022,1645.00,284
Kaine Padly,UK,50% Dark Bites,21/02/2022,3143.00,67
Roddy Speechley,Canada,Choco Coated Almonds,11/05/2022,5873.00,249
Ches Bonnell,India,50% Dark Bites,15/04/2022,11298.00,313
Oby Sorrel,Canada,Peanut Butter Cubes,07/06/2022,12425.00,167
Oby Sorrel,UK,White Choc,27/06/2022,1715.00,286
Barr Faughny,India,After Nines,29/07/2022,8190.00,109
Wilone O'Kielt,Canada,Smooth Sliky Salty,02/06/2022,4991.00,166
Rafaelita Blaksland,India,Mint Chip Choco,26/01/2022,15491.00,85
Rafaelita Blaksland,Canada,99% Dark & Pure,02/03/2022,5096.00,142
Van Tuxwell,Australia,70% Dark Bites,10/01/2022,7063.00,104
Beverie Moffet,USA,70% Dark Bites,27/06/2022,2275.00,115
Barr Faughny,Canada,Orange Choco,30/06/2022,7602.00,18
Roddy Speechley,Australia,85% Dark Bars,08/07/2022,4200.00,80
Oby Sorrel,India,Spicy Special Slims,08/06/2022,11137.00,88
Jan Morforth,UK,Manuka Honey Choco,18/08/2022,3388.00,212
Kaine Padly,Australia,After Nines,08/04/2022,6832.00,306
Wilone O'Kielt,Canada,Fruit & Nut Bars,08/08/2022,3437.00,181
Wilone O'Kielt,UK,Milk Bars,26/08/2022,301.00,65
Oby Sorrel,Canada,Fruit & Nut Bars,14/01/2022,1869.00,158
Dennison Crosswaite,USA,Baker's Choco Chips,11/08/2022,17465.00,271
Madelene Upcott,USA,Almond Choco,31/05/2022,10143.00,24
Van Tuxwell,New Zealand,50% Dark Bites,11/07/2022,3626.00,10
Karlen McCaffrey,Canada,Caramel Stuffed Bars,02/03/2022,3346.00,304
Madelene Upcott,Australia,Raspberry Choco,13/07/2022,6321.00,88
Rafaelita Blaksland,UK,Spicy Special Slims,03/08/2022,9345.00,133
Curtice Advani,UK,Peanut Butter Cubes,01/03/2022,15008.00,165
Kelci Walkden,New Zealand,White Choc,13/04/2022,7609.00,150
Beverie Moffet,Canada,Fruit & Nut Bars,14/02/2022,10332.00,180
Mallorie Waber,India,White Choc,26/07/2022,819.00,213
Brien Boise,UK,Drinking Coco,27/01/2022,5754.00,133
Jehu Rudeforth,India,Peanut Butter Cubes,14/04/2022,28.00,446
Oby Sorrel,USA,Almond Choco,19/05/2022,6440.00,141
Husein Augar,India,Eclairs,09/02/2022,4956.00,58
Brien Boise,UK,Spicy Special Slims,25/05/2022,2352.00,58
Oby Sorrel,Australia,Manuka Honey Choco,26/01/2022,3906.00,76
Beverie Moffet,India,White Choc,04/07/2022,1813.00,296
Ches Bonnell,India,Almond Choco,13/04/2022,11788.00,73
Gigi Bohling,Australia,Smooth Sliky Salty,25/01/2022,5768.00,119
Camilla Castle,USA,85% Dark Bars,25/04/2022,2401.00,78
Camilla Castle,USA,Eclairs,10/06/2022,4515.00,392
Madelene Upcott,New Zealand,White Choc,22/08/2022,10794.00,51
Van Tuxwell,India,After Nines,27/06/2022,13706.00,207
Husein Augar,India,Orange Choco,30/06/2022,4361.00,40
Jehu Rudeforth,India,Almond Choco,30/08/2022,10122.00,100
Karlen McCaffrey,Australia,Raspberry Choco,23/08/2022,994.00,57
Camilla Castle,New Zealand,99% Dark & Pure,26/08/2022,2268.00,42
Gigi Bohling,Australia,Orange Choco,09/03/2022,574.00,156
Kelci Walkden,UK,Drinking Coco,20/04/2022,1792.00,23
Mallorie Waber,Canada,Caramel Stuffed Bars,10/06/2022,4844.00,539
Husein Augar,Australia,Organic Choco Syrup,08/02/2022,938.00,158
Brien Boise,Australia,White Choc,25/08/2022,4879.00,22
Dotty Strutley,India,Peanut Butter Cubes,16/02/2022,9107.00,73
Dennison Crosswaite,UK,99% Dark & Pure,30/05/2022,12187.00,27
Gigi Bohling,New Zealand,50% Dark Bites,29/06/2022,5670.00,64
Gigi Bohling,USA,Milk Bars,16/06/2022,476.00,133
Brien Boise,UK,Caramel Stuffed Bars,04/03/2022,2681.00,149
Curtice Advani,New Zealand,Peanut Butter Cubes,15/03/2022,1533.00,434
Curtice Advani,New Zealand,50% Dark Bites,27/01/2022,9765.00,85
Beverie Moffet,Canada,Drinking Coco,05/07/2022,994.00,118
Barr Faughny,USA,Caramel Stuffed Bars,29/03/2022,3318.00,299
Mallorie Waber,Canada,Almond Choco,12/05/2022,4214.00,35
Oby Sorrel,USA,Drinking Coco,11/03/2022,7714.00,44
Brien Boise,New Zealand,Eclairs,11/07/2022,4690.00,299
Gunar Cockshoot,New Zealand,Choco Coated Almonds,01/08/2022,13062.00,62
Gunar Cockshoot,UK,Spicy Special Slims,16/02/2022,12488.00,200
Curtice Advani,USA,After Nines,13/04/2022,14147.00,235
Oby Sorrel,India,Choco Coated Almonds,14/02/2022,49.00,363
Ches Bonnell,Australia,Peanut Butter Cubes,14/03/2022,10199.00,68
Oby Sorrel,Australia,Spicy Special Slims,26/04/2022,11389.00,26
Jehu Rudeforth,Canada,Manuka Honey Choco,05/04/2022,3584.00,200
Camilla Castle,Canada,Drinking Coco,03/03/2022,12481.00,264
Kaine Padly,USA,Spicy Special Slims,13/06/2022,2107.00,175
Marney O'Breen,New Zealand,70% Dark Bites,14/02/2022,8603.00,352
Roddy Speechley,New Zealand,99% Dark & Pure,18/04/2022,7483.00,183
Oby Sorrel,New Zealand,85% Dark Bars,01/02/2022,3381.00,417
Dotty Strutley,New Zealand,Orange Choco,04/08/2022,2030.00,146
Andria Kimpton,New Zealand,Almond Choco,05/04/2022,6559.00,158
Karlen McCaffrey,Australia,99% Dark & Pure,26/01/2022,10822.00,168
Kaine Padly,UK,After Nines,21/01/2022,18697.00,176
Kaine Padly,Canada,After Nines,22/08/2022,5845.00,172
Kaine Padly,UK,Drinking Coco,27/01/2022,2317.00,224
Rafaelita Blaksland,UK,50% Dark Bites,16/02/2022,10150.00,68
Dotty Strutley,USA,Raspberry Choco,03/01/2022,3437.00,46
Karlen McCaffrey,USA,White Choc,24/08/2022,4592.00,2
Oby Sorrel,USA,Spicy Special Slims,07/02/2022,5691.00,417
Mallorie Waber,Australia,Smooth Sliky Salty,11/02/2022,4158.00,109
Kaine Padly,Canada,Organic Choco Syrup,29/03/2022,5684.00,81
Marney O'Breen,USA,Peanut Butter Cubes,15/06/2022,693.00,350
Dennison Crosswaite,UK,Smooth Sliky Salty,26/04/2022,546.00,142
Brien Boise,Australia,Organic Choco Syrup,15/07/2022,4263.00,264
Beverie Moffet,India,Organic Choco Syrup,23/06/2022,1036.00,20
Dennison Crosswaite,Australia,Baker's Choco Chips,11/01/2022,13846.00,421
Beverie Moffet,UK,50% Dark Bites,09/02/2022,2499.00,271
Van Tuxwell,UK,Almond Choco,06/06/2022,10689.00,204
Dotty Strutley,UK,Caramel Stuffed Bars,10/08/2022,5768.00,235
Wilone O'Kielt,Australia,Smooth Sliky Salty,04/01/2022,2226.00,46
Andria Kimpton,Canada,70% Dark Bites,08/04/2022,10262.00,15
Barr Faughny,UK,Milk Bars,02/03/2022,3864.00,430
Van Tuxwell,Canada,Drinking Coco,15/06/2022,4900.00,709
Jehu Rudeforth,Australia,After Nines,14/02/2022,5250.00,47
Husein Augar,UK,After Nines,05/07/2022,3507.00,380
Barr Faughny,India,Mint Chip Choco,12/01/2022,7413.00,465
Curtice Advani,India,Mint Chip Choco,03/03/2022,8155.00,96
Jehu Rudeforth,New Zealand,Milk Bars,18/05/2022,2478.00,188
Gunar Cockshoot,India,Caramel Stuffed Bars,28/07/2022,2471.00,202
Curtice Advani,UK,Manuka Honey Choco,07/02/2022,1666.00,106
Andria Kimpton,India,Orange Choco,30/05/2022,301.00,421
Mallorie Waber,Australia,Raspberry Choco,25/04/2022,8400.00,27
Beverie Moffet,Canada,85% Dark Bars,16/02/2022,6139.00,45
Kelci Walkden,Australia,Drinking Coco,04/05/2022,1288.00,60
Van Tuxwell,Canada,70% Dark Bites,02/06/2022,7077.00,77
Dennison Crosswaite,USA,Caramel Stuffed Bars,11/07/2022,2317.00,464
Beverie Moffet,New Zealand,Spicy Special Slims,07/06/2022,63.00,60
Jan Morforth,UK,Almond Choco,06/07/2022,9744.00,157
Husein Augar,India,Raspberry Choco,15/06/2022,9954.00,154
Dotty Strutley,India,Mint Chip Choco,14/04/2022,1260.00,239
Camilla Castle,India,Drinking Coco,08/08/2022,469.00,163
Marney O'Breen,UK,Drinking Coco,29/03/2022,973.00,28
Roddy Speechley,Australia,Organic Choco Syrup,04/07/2022,3647.00,76
Ches Bonnell,India,99% Dark & Pure,16/02/2022,455.00,96
Rafaelita Blaksland,Canada,Spicy Special Slims,02/05/2022,2520.00,156
Van Tuxwell,India,Eclairs,21/07/2022,10500.00,106
Gunar Cockshoot,Australia,99% Dark & Pure,18/08/2022,7952.00,235
Kaine Padly,USA,85% Dark Bars,22/06/2022,483.00,259
Camilla Castle,UK,Peanut Butter Cubes,19/07/2022,4872.00,126
Madelene Upcott,UK,Peanut Butter Cubes,12/08/2022,7756.00,85
Madelene Upcott,USA,Choco Coated Almonds,07/06/2022,5446.00,132
Marney O'Breen,Canada,Peanut Butter Cubes,08/03/2022,6594.00,91
Ches Bonnell,Australia,Choco Coated Almonds,08/04/2022,1470.00,167
Curtice Advani,Canada,Eclairs,06/05/2022,721.00,203
Roddy Speechley,India,Drinking Coco,31/05/2022,4494.00,11
Van Tuxwell,Australia,Mint Chip Choco,13/01/2022,2674.00,295
Dennison Crosswaite,USA,70% Dark Bites,15/03/2022,658.00,77
Andria Kimpton,Canada,Peanut Butter Cubes,16/02/2022,1127.00,319
Gigi Bohling,USA,70% Dark Bites,14/01/2022,7364.00,196
Rafaelita Blaksland,Australia,White Choc,21/03/2022,6818.00,102
Roddy Speechley,Canada,Drinking Coco,17/05/2022,6776.00,312
Camilla Castle,New Zealand,85% Dark Bars,08/08/2022,15099.00,55
Madelene Upcott,Canada,Milk Bars,26/04/2022,3612.00,82
Madelene Upcott,Australia,70% Dark Bites,15/04/2022,3710.00,260
Oby Sorrel,Canada,Eclairs,19/05/2022,6111.00,591
Dennison Crosswaite,Canada,Drinking Coco,10/01/2022,2702.00,24
Mallorie Waber,New Zealand,After Nines,04/05/2022,483.00,228
Roddy Speechley,Canada,White Choc,05/04/2022,5887.00,268
Andria Kimpton,India,After Nines,17/01/2022,952.00,68
Roddy Speechley,India,Spicy Special Slims,22/03/2022,10647.00,173
Dotty Strutley,Australia,White Choc,05/07/2022,6055.00,93
Oby Sorrel,Canada,Orange Choco,27/04/2022,8757.00,338
Kaine Padly,Canada,Almond Choco,12/08/2022,6055.00,73
Jan Morforth,UK,Baker's Choco Chips,11/03/2022,721.00,251
Jehu Rudeforth,UK,Fruit & Nut Bars,13/05/2022,8589.00,229
Dennison Crosswaite,USA,Smooth Sliky Salty,12/05/2022,11781.00,91
Brien Boise,USA,Raspberry Choco,12/01/2022,672.00,194
Madelene Upcott,New Zealand,Milk Bars,29/03/2022,12558.00,403
Roddy Speechley,India,50% Dark Bites,14/03/2022,8337.00,12
Barr Faughny,New Zealand,99% Dark & Pure,24/05/2022,8134.00,195
Dennison Crosswaite,Canada,Organic Choco Syrup,28/01/2022,8491.00,75
Beverie Moffet,India,Almond Choco,24/05/2022,3066.00,96
Brien Boise,Australia,Peanut Butter Cubes,19/08/2022,301.00,205
Karlen McCaffrey,Australia,Spicy Special Slims,17/05/2022,4410.00,323
Jehu Rudeforth,USA,White Choc,07/06/2022,6559.00,119
Ches Bonnell,Canada,Organic Choco Syrup,26/07/2022,574.00,217
Dotty Strutley,India,Eclairs,28/07/2022,2086.00,384
Karlen McCaffrey,India,70% Dark Bites,23/05/2022,5075.00,344
Jehu Rudeforth,UK,Mint Chip Choco,04/01/2023,5902.13,178
Van Tuxwell,India,85% Dark Bars,01/08/2023,8074.39,100
Gigi Bohling,India,Peanut Butter Cubes,07/07/2023,4666.18,100
Jan Morforth,Australia,Peanut Butter Cubes,27/04/2023,14103.40,350
Jehu Rudeforth,UK,Peanut Butter Cubes,24/02/2023,14167.84,178
Van Tuxwell,India,Smooth Sliky Salty,06/06/2023,5768.75,37
Oby Sorrel,UK,99% Dark & Pure,25/01/2023,14673.20,175
Gunar Cockshoot,Australia,After Nines,24/03/2023,3249.23,78
Jehu Rudeforth,New Zealand,50% Dark Bites,20/04/2023,4526.24,64
Brien Boise,Australia,99% Dark & Pure,04/07/2023,3166.56,98
Rafaelita Blaksland,UK,Smooth Sliky Salty,13/01/2023,4866.39,65
Barr Faughny,USA,Orange Choco,10/03/2023,4254.37,12
Mallorie Waber,Canada,Eclairs,13/01/2023,1652.61,277
Karlen McCaffrey,New Zealand,Drinking Coco,28/07/2023,171.49,163
Marney O'Breen,New Zealand,Peanut Butter Cubes,03/08/2023,8549.84,169
Beverie Moffet,Australia,Organic Choco Syrup,26/01/2023,7807.74,355
Van Tuxwell,Canada,Organic Choco Syrup,14/02/2023,4561.43,44
Roddy Speechley,USA,Smooth Sliky Salty,05/04/2023,3041.12,148
Beverie Moffet,Canada,Milk Bars,16/02/2023,9786.09,248
Curtice Advani,UK,85% Dark Bars,08/06/2023,1131.25,175
Brien Boise,Australia,Eclairs,27/06/2023,7484.07,94
Gunar Cockshoot,USA,Spicy Special Slims,17/02/2023,1339.61,166
Marney O'Breen,USA,After Nines,30/05/2023,5481.18,159
Husein Augar,UK,Drinking Coco,14/03/2023,3275.40,120
Kaine Padly,Australia,Eclairs,28/02/2023,7677.78,118
Karlen McCaffrey,India,Fruit & Nut Bars,26/01/2023,189.37,315
Roddy Speechley,Canada,Spicy Special Slims,09/02/2023,1658.79,193
Husein Augar,USA,Eclairs,07/07/2023,4168.93,122
Dennison Crosswaite,New Zealand,White Choc,05/07/2023,10604.89,165
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15/06/2023,5773.51,325
Van Tuxwell,New Zealand,85% Dark Bars,24/05/2023,1838.78,121
Rafaelita Blaksland,UK,99% Dark & Pure,29/06/2023,12643.10,150
Wilone O'Kielt,Australia,Manuka Honey Choco,11/05/2023,4439.52,95
Karlen McCaffrey,UK,Almond Choco,30/06/2023,7698.60,126
Andria Kimpton,Canada,After Nines,11/05/2023,2222.30,77
Roddy Speechley,USA,Manuka Honey Choco,22/07/2023,10959.02,302
Andria Kimpton,UK,50% Dark Bites,24/08/2023,2854.85,337
Kelci Walkden,New Zealand,After Nines,07/07/2023,147.82,74
Camilla Castle,Australia,85% Dark Bars,19/05/2023,3790.51,14
Karlen McCaffrey,India,Manuka Honey Choco,04/07/2023,2487.19,583
Kelci Walkden,USA,After Nines,02/06/2023,1021.27,17
Karlen McCaffrey,USA,Raspberry Choco,15/04/2023,15370.06,353
Mallorie Waber,Canada,Choco Coated Almonds,11/07/2023,5345.58,250
Andria Kimpton,India,Spicy Special Slims,23/02/2023,6559.44,154
Madelene Upcott,Canada,Almond Choco,22/08/2023,8282.93,107
Kaine Padly,USA,Peanut Butter Cubes,16/02/2023,6981.40,189
Van Tuxwell,USA,50% Dark Bites,13/01/2023,10280.17,155
Curtice Advani,Australia,Milk Bars,14/02/2023,7703.62,20
Roddy Speechley,India,Eclairs,10/06/2023,4489.81,310
Curtice Advani,India,Fruit & Nut Bars,07/07/2023,5806.11,190
Curtice Advani,Canada,Almond Choco,24/03/2023,5148.70,76
Brien Boise,Australia,Fruit & Nut Bars,06/06/2023,8558.59,24
Dotty Strutley,Australia,Drinking Coco,19/07/2023,94.19,145
Beverie Moffet,USA,Raspberry Choco,19/04/2023,16223.83,87
Marney O'Breen,India,85% Dark Bars,19/07/2023,2439.06,175
Jehu Rudeforth,Canada,Drinking Coco,15/07/2023,466.65,23
Ches Bonnell,New Zealand,Spicy Special Slims,14/02/2023,4044.24,18
Brien Boise,Canada,99% Dark & Pure,18/05/2023,17675.28,446
Barr Faughny,Australia,Fruit & Nut Bars,30/06/2023,17280.98,58
Andria Kimpton,Australia,50% Dark Bites,02/06/2023,5091.78,219
Andria Kimpton,Australia,Drinking Coco,28/06/2023,1657.20,49
Marney O'Breen,Australia,Organic Choco Syrup,16/05/2023,305.79,189
Kelci Walkden,Canada,Baker's Choco Chips,26/05/2023,3377.41,325
Karlen McCaffrey,India,Almond Choco,06/07/2023,6188.62,157
Oby Sorrel,India,99% Dark & Pure,27/05/2023,10914.36,11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14/04/2023,2342.07,12
Van Tuxwell,Australia,Organic Choco Syrup,10/08/2023,21762.80,15
Camilla Castle,India,50% Dark Bites,04/07/2023,10539.54,398
Oby Sorrel,India,Organic Choco Syrup,08/07/2023,6665.87,60
Jan Morforth,USA,Peanut Butter Cubes,22/07/2023,9605.11,98
Gigi Bohling,USA,Choco Coated Almonds,02/03/2023,13018.00,103
Gigi Bohling,UK,Almond Choco,10/01/2023,6046.40,10
Jehu Rudeforth,New Zealand,White Choc,11/03/2023,3078.33,231
Andria Kimpton,New Zealand,Peanut Butter Cubes,20/06/2023,970.96,291
Van Tuxwell,UK,Organic Choco Syrup,26/08/2023,2064.71,208
Roddy Speechley,Canada,Milk Bars,13/07/2023,679.94,34
